fecha,capital
2017-04-27,309917.52
2017-04-28,309917.52
2017-05-01,309917.52
2017-05-02,308708.9
2017-05-03,308708.9
2017-05-04,308708.9
2017-05-05,308708.9
2017-05-08,308708.9
2017-05-09,308708.9
2017-05-10,308708.9
2017-05-11,308708.9
2017-05-12,308708.9
2017-05-15,308708.9
2017-05-16,308708.9
2017-05-17,326600.95
2017-05-18,336148.24
2017-05-19,336148.24
2017-05-22,338608.98
2017-05-23,338608.98
2017-05-24,338608.98
2017-05-25,338608.98
2017-05-26,338608.98
2017-05-30,338608.98
2017-05-31,338608.98
2017-06-01,339363.3
2017-06-02,339363.3
2017-06-05,339363.3
2017-06-06,339811.61
2017-06-07,339811.61
2017-06-08,339811.61
2017-06-09,339811.61
2017-06-12,354248.29
2017-06-13,354248.29
2017-06-14,354248.29
2017-06-15,354248.29
2017-06-16,353264.5
2017-06-19,353264.5
2017-06-20,353264.5
2017-06-21,351536.82
2017-06-22,351536.82
2017-06-23,363571.48
2017-06-26,363571.48
2017-06-27,361754.17
2017-06-28,361754.17
2017-06-29,361754.17
2017-06-30,365670.76
2017-07-03,365670.76
2017-07-05,365670.76
2017-07-06,369987.09
2017-07-07,369987.09
2017-07-10,369987.09
2017-07-11,369987.09
2017-07-12,369987.09
2017-07-13,369987.09
2017-07-14,369987.09
2017-07-17,369987.09
2017-07-18,374902.07
2017-07-19,374299.75
2017-07-20,374299.75
2017-07-21,374856.56
2017-07-24,376522.14
2017-07-25,376522.14
2017-07-26,376528.66
2017-07-27,376569.3
2017-07-28,377005.77
2017-07-31,378952.77
2017-08-01,379511.93
2017-08-02,383637.11
2017-08-03,383637.11
2017-08-04,383637.11
2017-08-07,383637.11
2017-08-08,383637.11
2017-08-09,389586.94
2017-08-10,394312.72
2017-08-11,391730.05
2017-08-14,391730.05
2017-08-15,391730.05
2017-08-16,391730.05
2017-08-17,396328.93
2017-08-18,394706.88
2017-08-21,394706.88
2017-08-22,394706.88
2017-08-23,394706.88
2017-08-24,394706.88
2017-08-25,393373.26
2017-08-28,391244.76
2017-08-29,391244.76
2017-08-30,391244.76
2017-08-31,391244.76
2017-09-01,391244.76
2017-09-05,391244.76
2017-09-06,391244.76
2017-09-07,391244.76
2017-09-08,391244.76
2017-09-11,395295.62
2017-09-12,395295.62
2017-09-13,395977.58
2017-09-14,395977.58
2017-09-15,395977.58
2017-09-18,407320.03
2017-09-19,407320.03
2017-09-20,407893.79
2017-09-21,410924.41
2017-09-22,410924.41
2017-09-25,412258.27
2017-09-26,412258.27
2017-09-27,412258.27
2017-09-28,415204.66
2017-09-29,415204.66
2017-10-02,415204.66
2017-10-03,415204.66
2017-10-04,415204.66
2017-10-05,415204.66
2017-10-06,415204.66
2017-10-09,413268.59
2017-10-10,413268.59
2017-10-11,413268.59
2017-10-12,417577.23
2017-10-13,417577.23
2017-10-16,417577.23
2017-10-17,417579.84
2017-10-18,417579.84
2017-10-19,417583.36
2017-10-20,417583.36
2017-10-23,421467.67
2017-10-24,421467.67
2017-10-25,424540.79
2017-10-26,425383.21
2017-10-27,425383.21
2017-10-30,425383.21
2017-10-31,425383.21
2017-11-01,422364.26
2017-11-02,434893.76
2017-11-03,434893.76
2017-11-06,434893.76
2017-11-07,439916.67
2017-11-08,441017.08
2017-11-09,441017.08
2017-11-10,441017.08
2017-11-13,441017.08
2017-11-14,441017.08
2017-11-15,440125.67
2017-11-16,440125.67
2017-11-17,442178.38
2017-11-20,442178.38
2017-11-21,442178.38
2017-11-22,442178.38
2017-11-24,442178.38
2017-11-27,442178.38
2017-11-28,442178.38
2017-11-29,442178.38
2017-11-30,442178.38
2017-12-01,442178.38
2017-12-04,442178.38
2017-12-05,447571.13
2017-12-06,452733.18
2017-12-07,452733.18
2017-12-08,453553.28
2017-12-11,453553.28
2017-12-12,452625.54
2017-12-13,452625.54
2017-12-14,467324.38
2017-12-15,479122.11
2017-12-18,479122.11
2017-12-19,474763.12
2017-12-20,472373.67
2017-12-21,471034.8
2017-12-22,469966.68
2017-12-26,469966.68
2017-12-27,469966.68
2017-12-28,469966.68
2017-12-29,480312.68
2018-01-02,484312.68
2018-01-03,482450.21
2018-01-04,482450.21
2018-01-05,482450.21
2018-01-08,482450.21
2018-01-09,482450.21
2018-01-10,482450.21
2018-01-11,482450.21
2018-01-12,482450.21
2018-01-16,483049.43
2018-01-17,483183.82
2018-01-18,483264.04
2018-01-19,483437.79
2018-01-22,483602.21
2018-01-23,487795.2
2018-01-24,487795.2
2018-01-25,488731.06
2018-01-26,488795.67
2018-01-29,512903.52
2018-01-30,517080.94
2018-01-31,531498.27
2018-02-01,538280.79
2018-02-02,572203.56
2018-02-05,583137.23
2018-02-06,583137.23
2018-02-07,583137.23
2018-02-08,561337.12
2018-02-09,561337.12
2018-02-12,561337.12
2018-02-13,561337.12
2018-02-14,562031.22
2018-02-15,562138.64
2018-02-16,564900.0
2018-02-20,564900.0
2018-02-21,564900.0
2018-02-22,564900.0
2018-02-23,564900.0
2018-02-26,564900.0
2018-02-27,566061.98
2018-02-28,565209.11
2018-03-01,568238.22
2018-03-02,568238.22
2018-03-05,568238.22
2018-03-06,568238.22
2018-03-07,568238.22
2018-03-08,568238.22
2018-03-09,568238.22
2018-03-12,568238.22
2018-03-13,568238.22
2018-03-14,572488.69
2018-03-15,570095.08
2018-03-16,570095.08
2018-03-19,570443.79
2018-03-20,570443.79
2018-03-21,570443.79
2018-03-22,586466.62
2018-03-23,582945.83
2018-03-26,582945.83
2018-03-27,582945.83
2018-03-28,581098.34
2018-03-29,581098.34
2018-04-02,566240.31
2018-04-03,566240.31
2018-04-04,566240.31
2018-04-05,566240.31
2018-04-06,562523.83
2018-04-09,559678.6
2018-04-10,559678.6
2018-04-11,559678.6
2018-04-12,559678.6
2018-04-13,559678.6
2018-04-16,559678.6
2018-04-17,559678.6
2018-04-18,559678.6
2018-04-19,557705.33
2018-04-20,557705.33
2018-04-23,557045.9
2018-04-24,557045.9
2018-04-25,557045.9
2018-04-26,557045.9
2018-04-27,557045.9
2018-04-30,557045.9
2018-05-01,558410.06
2018-05-02,559568.57
2018-05-03,563095.74
2018-05-04,567047.46
2018-05-07,567047.46
2018-05-08,567047.46
2018-05-09,567047.46
2018-05-10,567047.46
2018-05-11,567047.46
2018-05-14,567047.46
2018-05-15,567047.46
2018-05-16,567047.46
2018-05-17,582337.54
2018-05-18,582337.54
2018-05-21,582337.54
2018-05-22,582337.54
2018-05-23,582337.54
2018-05-24,585530.69
2018-05-25,598871.69
2018-05-29,603090.68
2018-05-30,603090.68
2018-05-31,601265.1
2018-06-01,601265.1
2018-06-04,598573.84
2018-06-05,598573.84
2018-06-06,598573.84
2018-06-07,598573.84
2018-06-08,598573.84
2018-06-11,598573.84
2018-06-12,617053.94
2018-06-13,617053.94
2018-06-14,627056.05
2018-06-15,627056.05
2018-06-18,627056.05
2018-06-19,630810.66
2018-06-20,637045.27
2018-06-21,637045.27
2018-06-22,646928.65
2018-06-25,642434.59
2018-06-26,642434.59
2018-06-27,652645.58
2018-06-28,652645.58
2018-06-29,652645.58
2018-07-02,652645.58
2018-07-03,652645.58
2018-07-05,652645.58
2018-07-06,652645.58
2018-07-09,658186.44
2018-07-10,658186.44
2018-07-11,654457.43
2018-07-12,654457.43
2018-07-13,655597.79
2018-07-16,655597.79
2018-07-17,655597.79
2018-07-18,655597.79
2018-07-19,655597.79
2018-07-20,655597.79
2018-07-23,655597.79
2018-07-24,653775.07
2018-07-25,653775.07
2018-07-26,654651.4
2018-07-27,673068.52
2018-07-30,670780.06
2018-07-31,670780.06
2018-08-01,676993.51
2018-08-02,676993.51
2018-08-03,676993.51
2018-08-06,676993.51
2018-08-07,676993.51
2018-08-08,676993.51
2018-08-09,676993.51
2018-08-10,676993.51
2018-08-13,678103.54
2018-08-14,678103.54
2018-08-15,672837.98
2018-08-16,672837.98
2018-08-17,672837.98
2018-08-20,668975.83
2018-08-21,668975.83
2018-08-22,667243.02
2018-08-23,667243.02
2018-08-24,667243.02
2018-08-27,667243.02
2018-08-28,667243.02
2018-08-29,667243.02
2018-08-30,686881.62
2018-08-31,686881.62
2018-09-04,686197.78
2018-09-05,688590.65
2018-09-06,688590.65
2018-09-07,688590.65
2018-09-10,694530.93
2018-09-11,694530.93
2018-09-12,696044.66
2018-09-13,696960.09
2018-09-14,696964.4
2018-09-17,696986.65
